image_fn,label_fn
dataset/10test_Pennsylvania/HR_image/m_4107757_sw_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4107757_sw_18_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4007837_ne_17_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4007837_ne_17_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4107649_ne_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4107649_ne_18_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4007807_ne_17_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4007807_ne_17_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4007801_nw_17_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4007801_nw_17_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4007746_nw_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4007746_nw_18_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4007606_ne_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4007606_ne_18_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_4107749_nw_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_4107749_nw_18_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_3907821_ne_17_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_3907821_ne_17_1_nlcd.tif
dataset/10test_Pennsylvania/HR_image/m_3907506_sw_18_1_naip-new.tif,dataset/10test_Pennsylvania/LR_label/m_3907506_sw_18_1_nlcd.tif
