image_fn,label_fn
dataset/10test_West_Virginia/HR_image/m_3907857_nw_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3907857_nw_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3808059_se_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3808059_se_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3907842_se_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3907842_se_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3808024_sw_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3808024_sw_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3808024_ne_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3808024_ne_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3807941_ne_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3807941_ne_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3807902_nw_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3807902_nw_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3907852_sw_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3907852_sw_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3708021_sw_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3708021_sw_17_1_nlcd.tif
dataset/10test_West_Virginia/HR_image/m_3708003_ne_17_1_naip-new.tif,dataset/10test_West_Virginia/LR_label/m_3708003_ne_17_1_nlcd.tif
